"region","year","sex","country","number"
"AT13","2008","FEMALE","ECU",161
"AT13","2008","FEMALE","GTM",53
"AT13","2008","FEMALE","HND",14
"AT13","2008","FEMALE","HTI",19
"AT13","2008","FEMALE","MEX",256
"AT13","2008","FEMALE","NIC",39
"AT13","2008","FEMALE","PAN",9
"AT13","2008","FEMALE","PER",476
"AT13","2008","FEMALE","PRY",42
"AT13","2008","FEMALE","SLV",19
"AT13","2008","FEMALE","URY",72
"AT13","2008","FEMALE","VEN",210
"AT13","2009","MALE","ARG",289
"AT13","2009","MALE","BOL",101
"AT13","2009","MALE","BRA",494
"AT13","2009","MALE","CHL",312
"AT13","2009","MALE","COL",337
"AT13","2009","MALE","CRI",20
"AT13","2009","MALE","CUB",106
"AT13","2009","MALE","DOM",136
"AT13","2009","MALE","ECU",119
"AT13","2009","MALE","GTM",64
"AT13","2009","MALE","HND",10
"AT13","2009","MALE","HTI",8
"AT13","2009","MALE","MEX",217
"AT13","2009","MALE","NIC",22
"AT13","2009","MALE","PAN",10
"AT13","2009","MALE","PER",261
"AT13","2009","MALE","PRY",31
"AT13","2009","MALE","SLV",12
"AT13","2009","MALE","URY",56
"AT13","2009","MALE","VEN",136
"AT13","2009","FEMALE","ARG",281
"AT13","2009","FEMALE","BOL",131
"AT13","2009","FEMALE","BRA",856
"AT13","2009","FEMALE","CHL",363
"AT13","2009","FEMALE","COL",422
"AT13","2009","FEMALE","CRI",30
"AT13","2009","FEMALE","CUB",208
"AT13","2009","FEMALE","DOM",279
"AT13","2009","FEMALE","ECU",162
"AT13","2009","FEMALE","GTM",54
"AT13","2009","FEMALE","HND",13
"AT13","2009","FEMALE","HTI",19
"AT13","2009","FEMALE","MEX",280
"AT13","2009","FEMALE","NIC",48
"AT13","2009","FEMALE","PAN",9
"AT13","2009","FEMALE","PER",486
"AT13","2009","FEMALE","PRY",51
"AT13","2009","FEMALE","SLV",22
"AT13","2009","FEMALE","URY",73
"AT13","2009","FEMALE","VEN",205
"AT13","2010","MALE","ARG",290
"AT13","2010","MALE","BOL",107
"AT13","2010","MALE","BRA",504
